question,answer,difficulty,topic,data_science_question
What’s the regularization term in L1 and L2 models?,Answer here,intermediate,regularization,1
How do you select the number of trees in the gradient boosting model?,"Most implementations of gradient boosting are configured by default with a relatively small number of trees, such as hundreds or thousands. Using scikit-learn we can perform a grid search of the n_estimators model parameter",intermediate,feature selection,1
What do you think of the new version of Mac OS X?,,,,0
What is the difference between a correlation coefficient and a linear regression coefficient?,Answer here,beginner,supervised learning,1
How can we use machine learning techniques to make recommendations?,Answer here,beginner,unsupervised learning,1
What is your most embarrassing moment?,,,,0
What are the key characteristics of a recommender system?,Answer here,beginner,recommender systems,1
What was the first thing you thought of when you heard the news that a man had been found dead at the bottom of a well?,,,,0
What’s your favorite thing to do when you get home from work?,,,,0
Do you know how to use the gradient boosting trees for text classification?,Answer here,advanced,text classification,1
What do you think is the most interesting fact about your life?,,,,0
What are the challenges with using trees for solving time series problems?,Answer here,intermediate,time series,1
How do regularization techniques work?,Answer here,intermediate,regularization,1
What is the best way to go about making a list of all the things you want to do before you die?,,,,0
What are the differences between random forest and gradient boosting trees?,Answer here,intermediate,feature selection,1
What are the chances that a group of people who know each other really well will not be able to agree on something even if they’re all equally smart and reasonable?,,,,0
How do we interpret the coefficients in linear models?,Answer here,intermediate,classification,1
What is time series and how it differs from other time series?,Answer here,beginner,time series,1
How do you know when to start a new project?,,,,0
"What is the meaning of ""independent"" and ""dependent"" in statistics?",,,,0
What do you do for a living?,,,,0
What is the difference between a PMP and a PMI-ACP?,,,,0
How do you feel about the way your name is spelled?,,,,0
How do you deal with missing values in time series?,Answer here,intermediate,time series,1
What’s the first thing that comes to your mind when you hear the word “poker?,,,,0
How many of you guys have ever eaten a raw egg in your life?,,,,0
How do you validate your regression models?,Answer here,beginner,supervised learning,1
2x + 4y = 12 is a system of linear equations in two variables. How do you solve it?,,,,0
What cold start problem?,Answer here,intermediate,recommender systems,1
What are the chances that you’ll find a new job in your current industry?,,,,0
If you could go back in time and change one thing about your life what would it be?,,,,0
What is the difference between bag of words and n-grams?,Answer here,intermediate,text classification,1
What do you think is the most interesting aspect of your job?,,,,0
What’s the difference between linear regression and logistic regression?,Answer here,beginner,classification,1
What is the difference between Random Forest and Gradient Boosting trees?,Answer here,intermediate,feature selection,1
What’s the best way to make sure your dog doesn’t get sick?,,,,0
How do we deal with categorical variables in logistic regression?,Answer here,beginner,classification,1
Why do we need one-hot encoding?,"If we simply encode categorical variables with a Label encoder, they become ordinal which can lead to undesirable consequences. In this case, linear models will treat category with id 4 as twice better than a category with id 2. One-hot encoding allows us to represent a categorical variable in a numerical vector space which ensures that vectors of each category have equal distances between each other. This approach is not suited for all situations, because by using it with categorical variables of high cardinality (e.g. customer id) we will encounter problems that come into play because of the curse of dimensionality.",intermediate,classification,1
If you could have one superpower what would it be and how would you use it?,,,,0
What is the difference between a “dose” and a “dose response”?,,,,0
What is the name of the game?,,,,0
What is the best way to convert an array into a string?,,,,0
What is the normal equation?,Normal equations are equations obtained by setting equal to zero the partial derivatives of the sum of squared errors (least squares); normal equations allow one to estimate the parameters of a multiple linear regression.,intermediate,supervised learning,1
How can we use machine learning techniques for recommender systems?,Answer here,beginner,recommender systems,1
How do you evaluate ranking algorithms?,Answer here,intermediate,unsupervised learning,1
What are the differences between CNN and RNN for text classification?,Answer here,advanced,text classification,1
"What is the difference between a ""soul"" and a ""spirit""?",,,,0
What do you think of the idea of a “moral majority”?,,,,0
What do you get when you cross a human with a dog?,,,,0
How can we use text embeddings for text classification?,Answer here,advanced,text classification,1
"How do you deal with unstructured data, and how do you make use of the information in it?",Answer here,beginner,unsupervised learning,1
How do we solve time series problems?,Answer here,beginner,time series,1
What was the last book you read?,,,,0
1/5 of the population is infected with hepatitis A. What is the probability that at least one person in a group of 20 people will be infected with hepatitis A?,,,,0
How did you get started in this field?,,,,0
How can we use N-grams for text classification?,Answer here,advanced,text classification,1
Do you know how to use XGBoost for text classification?,Answer here,advanced,text classification,1
How many of us have been in a situation where we’ve had to make a choice between two people and one person is clearly better than the other?,,,,0
What’s the L2 regularization term in linear models?,Answer here,intermediate,regularization,1
How do we choose K in K-fold cross-validation? What’s your favorite K?,"There are two things to consider while deciding K: the number of models we get and the size of validation set. We do not want the number of models to be too less, like 2 or 3. At least 4 models give a less biased decision on the metrics. On the other hand, we would want the dataset to be at least 20-25% of the entire data. So that at least a ratio of 3:1 between training and validation set is maintained.",beginner,supervised learning,1
Why do some people think it’s a good idea to use the term “gay marriage” as a synonym for “marriage equality”?,,,,0
Do you have any suggestions on how to get a better sound out of your system?,,,,0
What is the best way to deal with a problem like this?,,,,0
Why is the sky blue?,,,,0
What do you think of the new (and soon-to-be-released) iPhone 4S?,,,,0
What is the first thing you would do if you were in a room full of people who had never heard of your band?,,,,0
What are the key components of data science?,Answer here,intermediate,supervised learning,1
How can we use GANs for text classification?,Answer here,advanced,text classification,1
How can you deal with the cold start problem?,Answer here,intermediate,recommender systems,1
What is the difference between a non-recursive function and a recursive function?,,,,0
What are the different types of feature selection methods?,Answer here,intermediate,feature selection,1
How do you evaluate the accuracy of regression models?,Answer here,beginner,classification,1
What is your favorite thing about being a writer?,,,,0
If you were to make a list of the top 10 reasons why you love your job what would be on that list?,,,,0
How did you get involved in the art world?,,,,0
What do you think of the new name?,,,,0
How do I get a list of all the users on my server?,,,,0
"What is the difference between a ""narrative"" and a ""story""?",,,,0
What is the effect of regularization parameters on linear models?,Answer here,intermediate,regularization,1
What is the role of AI in recommender systems?,Answer here,beginner,recommender systems,1
How do you feel about the current political climate in the U.S.?,,,,0
What are text embeddings?,Answer here,advanced,text classification,1
How many of you have ever been in the situation where you had to explain yourself to an angry customer?,,,,0
How would you use text classification for text classification with N-grams?,Answer here,advanced,text classification,1
Possible approaches to solving the problem of constructing a good baseline when building a recommender system?,Answer here,intermediate,recommender systems,1
Can we use word embeddings in text classification?,Answer here,advanced,text classification,1
What is the difference between XGBoost and LightGBM in terms of performance?,Answer here,advanced,feature selection,1
10 years ago what would you have done if you were asked to choose between the two most important things in your life?,,,,0
How many of you have read the book “The Girl Who Kicked the Hornet’s Nest” by Stieg Larsson?,,,,0
"4-5 questions per person
1. In your opinion, what is the most important social issue of our time?",,,,0
How do we use LightGBM models for text classification?,Answer here,advanced,text classification,1
How do we perform classification?,Answer here,intermediate,classification,1
what is the name of the book?,,,,0
1.What is data science and how does it differ from machine learning?,Answer here,beginner,supervised learning,1
What is your favorite thing to do in the summer?,,,,0
What is the difference between a vector and a matrix?,,,,0
How do we choose the number of features to include in a linear model?,Answer here,intermediate,regularization,1
How do you use XGBoost models in production?,Answer here,advanced,feature selection,1
How do you decide when to stop training?,Answer here,beginner,neural networks,1
What if we have a series with only one variable “y” measured at time t+1 and a set of features at time t?,Answer here,intermediate,time series,1
What is big data and what are the different types of big data?,Answer here,intermediate,supervised learning,1
What do you know about K-fold cross-validation?,Answer here,beginner,supervised learning,1
How do you evaluate the performance of machine learning models?,Answer here,beginner,supervised learning,1
What are the different approaches to building recommender systems?,Answer here,intermediate,recommender systems,1
What is the main difference between random forest model and gradient boosting tree model?,Answer here,intermediate,feature selection,1
How do you know when to use XGBoost or LightGBM for classification?,Answer here,advanced,feature selection,1
How do you go about choosing a domain name for your website?,,,,0
What is the difference between Gradient Boosting Trees and Random Forest?,Answer here,intermediate,feature selection,1
Have you ever heard of a group of people that are the same age as you but with different hair colors?,,,,0
Would you prefer gradient boosting trees model or logistic regression when doing text classification with embeddings?,Answer here,intermediate,text classification,1
Do you know how to use GNNs for text classification?,Answer here,advanced,text classification,1
Why don’t we see more of these in the news?,,,,0
How do we interpret the regularization parameters?,Answer here,intermediate,regularization,1
Are you aware of anyone in the past who had a similar condition to yours?,,,,0
What are N-grams? When do we use N-grams?,Answer here,advanced,text classification,1
What is the best way to create a list of all files in a directory?,,,,0
What is machine learning and how does it differ from other forms of AI?,Answer here,beginner,unsupervised learning,1
What is the impact of feature selection?,Answer here,beginner,feature selection,1
Do you know how to calculate the probability of a specific event in a given scenario?,,,,0
How can I get the following two statements to be true at the same time?,,,,0
If you had to pick a single word to describe your life what would it be?,,,,0
"What is ""curse of dimensionality""? ","The curse of dimensionality is an issue that arises when working with high-dimensional data. It is often said that ""the curse of dimensionality"" is one of the main problems with machine learning. The curse of dimensionality refers to the fact that, as the number of dimensions (features) in a data set increases, the number of data points required to accurately learn the relationships between those features increases exponentially.

A simple example where we have a data set with two features, x1 and x2. If we want to learn the relationship between these two features, we need to have enough data points so that we can accurately estimate the parameters of that relationship. However, if we add a third feature, x3, then the number of data points required to accurately learn the relationships between all three features increases exponentially. This is because there are now more parameters to estimate, and the number of data points needed to accurately estimate those parameters increases exponentially with the number of parameters.

Simply put, the curse of dimensionality basically means that the error increases with the increase in the number of features.",intermediate,classification,1
What is AU ROC?,Answer here,intermediate,classification,1
What’s your favorite metric for evaluating regression models?,Answer here,beginner,supervised learning,1
What is the difference between gradient boosting tree and random forest models?,Answer here,advanced,feature selection,1
What is the difference between batch and mini-batch training?,Answer here,intermediate,neural networks,1
What do you think is the single biggest reason why people don’t make their dreams come true?,,,,0
Can we use L2 regularization for feature selection?,"No, Because L2 regularization does not make the weights zero but only makes them very very small. L2 regularization can be used to solve multicollinearity since it stabilizes the model.",intermediate,feature selection,1
How do you feel about this?,,,,0
Do you know the difference between a “good” and a “bad” day at work?,,,,0
What are the key differences between deep learning and traditional neural nets?,Answer here,intermediate,neural networks,1
How did you come up with the name of your band?,,,,0
Can we formulate the search problem as a classification problem? How?,Answer here,intermediate,unsupervised learning,1
How many of you have ever wondered what happened to your childhood drawings?,,,,0
Do you know bag of words?,Answer here,intermediate,text classification,1
What is feature selection? Why do we need it?,Feature Selection is a method used to select the relevant features for the model to train on. We need feature selection to remove the irrelevant features which leads the model to under-perform.,beginner,feature selection,1
What do you think of the recent news that a man who was convicted of murdering his wife in 2002 has been released from prison after serving 15 years?,,,,0
10 years from now do you think we will still be using the same language as we do today?,,,,0
Is it possible for a person to be both Catholic and Protestant at the same time?,,,,0
What if we want to build a neural network for text classification with bag of words features?,Answer here,intermediate,text classification,1
Do you know any ways to use gradient boosting trees for ranking?,Answer here,advanced,unsupervised learning,1
What is the difference between a linear regression model and a logistic regression model?,Answer here,beginner,classification,1
How do you evaluate the accuracy of your classification models?,Answer here,beginner,classification,1
How do you know how to validate your models?,Answer here,beginner,supervised learning,1
What is the difference between Linear Regression and Logistic Regression?,Answer here,beginner,classification,1
What was the first thing you did when you got home after being out of town for a week?,,,,0
Can we use regularization techniques for linear models in non-linear models?,Answer here,intermediate,regularization,1
What are the advantages of random forest regression model compared to gradient boosting tree model?,Answer here,beginner,feature selection,1
"What do you think of when you hear the word, ""retirement""?",,,,0
How often do you go to the beach?,,,,0
What are the applications of Deep Learning in Data Science?,Answer here,intermediate,classification,1
How can you use bag of words for text classification with bag of words?,Answer here,advanced,text classification,1
What is the name of the game that you are playing?,,,,0
Is there any way to change the background color of a textbox?,,,,0
Do you know how to use gradient boosting models for ranking?,Answer here,advanced,unsupervised learning,1
How many of you have been in a relationship with someone who has had an affair?,,,,0
Why do we use convolutional layers?,Answer here,intermediate,neural networks,1
What do you think of the idea of a “sweat equity” tax credit?,,,,0
What would be the best way to approach this problem?,Answer here,intermediate,unsupervised learning,1
Can you explain how cross-validation works?,"Cross-validation is the process to separate your total training set into two subsets: training and validation set, and evaluate your model to choose the hyperparameters. But you do this process iteratively, selecting different training and validation set, in order to reduce the bias that you would have by selecting only one validation set.",beginner,supervised learning,1
What is your favorite thing about being a mom?,,,,0
What is the name of the song in the intro of this video?,,,,0
What do you think is the most important thing to get right in a book?,,,,0
What do you think of the new iPhone 5?,,,,0
What kind of regularization techniques are applicable to linear models?,"AIC/BIC, Ridge regression, Lasso, Elastic Net, Basis pursuit denoising, Rudin–Osher–Fatemi model (TV), Potts model, RLAD,
Dantzig Selector,SLOPE",intermediate,regularization,1
"Is it possible to make a ""generic"" object that can be used for any type of input?",,,,0
"Given a set of observations, how can we compute the mean and standard deviation (or other statistics) of that set?",Answer here,intermediate,unsupervised learning,1
"What would you do if you were asked to build a machine learning system that can accurately predict the number of days until an event (e.g., a person's birthday) based on historical weather data?",Answer here,intermediate,recommender systems,1
What is the difference between L1 regularization and L2 regularization?,Answer here,intermediate,regularization,1
Do you have any idea what is going to happen in the next couple of days?,,,,0
"What is the meaning of ""Ku Klux Klan""?",,,,0
2 x 1.5 cm square tiles are to be laid out on a floor in a pattern of 3 rows of 4 tiles each. How many different ways can this be done?,,,,0
What are the most popular machine learning models?,Answer here,beginner,supervised learning,1
What is the difference between gradient boosting models and XGBoost?,Answer here,advanced,feature selection,1
Is there any difference between random forest model and gradient boosting tree model in terms of feature importance?,Answer here,intermediate,feature selection,1
Do you have a favorite place to eat?,,,,0
How do we deal with categorical features in machine learning?,Answer here,intermediate,feature selection,1
"If you have a series with only one variable “y” measured at time t and a set of features at time t-1 and t-2, how to predict “y” at time t+1?",Answer here,intermediate,time series,1
Is it possible to have the same number of rows and columns in a grid?,,,,0
What are the challenges in designing learning algorithms?,Answer here,intermediate,unsupervised learning,1
How to select K for K-means?,"* Domain knowledge, i.e. an expert knows the value of k
* Elbow method: compute the clusters for different values of k, for each k, calculate the total within-cluster sum of square, plot the sum according to the number of clusters and use the band as the number of clusters.
* Average silhouette method: compute the clusters for different values of k, for each k, calculate the average silhouette of observations, plot the silhouette according to the number of clusters and select the maximum as the number of clusters.",intermediate,unsupervised learning,1
how do we know that the earth is round?,,,,0
How do you like to spend your time when you are not working?,,,,0
How can we use machine learning for text classification?,"Machine learning classification algorithms predict a class based on a numerical feature representation. This means that in order to use machine learning for text classification, we need to extract numerical features from our text data first before we can apply machine learning algorithms. Common approaches to extract numerical features from text data are bag of words, N-grams or word embeddings.",intermediate,text classification,1
What is the first thing you do when you wake up in the morning?,,,,0
How can I get to the top of a page?,,,,0
What is time series and how it is different from the standard regression model?,Answer here,beginner,time series,1
what is your favorite way to spend the weekend?,,,,0
What is the principle of linear regression?,Answer here,beginner,supervised learning,1
How do we know how many trees we need in random forest?,"The number of trees in random forest is worked by n_estimators, and a random forest reduces overfitting by increasing the number of trees. There is no fixed thumb rule to decide the number of trees in a random forest, it is rather fine tuned with the data, typically starting off by taking the square of the number of features (n) present in the data followed by tuning until we get the optimal results.",intermediate,feature selection,1
What are the differences between linear models and generalized linear models?,Answer here,intermediate,regularization,1
How can you deal with the cold start problem in recommender systems?,Answer here,intermediate,recommender systems,1
What is bag of words?,Answer here,intermediate,text classification,1
What do we need to know about bias-variance trade-off?,Answer here,beginner,supervised learning,1
What is your favorite book?,,,,0
How can we use XGBoost for ranking?,Answer here,advanced,unsupervised learning,1
How does one know that a given set of integers has the property that for every integer n there is an integer m such that n = m^2?,,,,0
What are the main assumptions of linear regression?,"There are several assumptions of linear regression. If any of them is violated, model predictions and interpretation may be worthless or misleading.

1. **Linear relationship** between features and target variable.
2. **Additivity** means that the effect of changes in one of the features on the target variable does not depend on values of other features. For example, a model for predicting revenue of a company have of two features - the number of items _a_ sold and the number of items _b_ sold. When company sells more items _a_ the revenue increases and this is independent of the number of items _b_ sold. But, if customers who buy _a_ stop buying _b_, the additivity assumption is violated.
3. Features are not correlated (no **collinearity**) since it can be difficult to separate out the individual effects of collinear features on the target variable.
4. Errors are independently and identically normally distributed (y<sub>i</sub> = B0 + B1*x1<sub>i</sub> + ... + error<sub>i</sub>):
   1. No correlation between errors (consecutive errors in the case of time series data).
   2. Constant variance of errors - **homoscedasticity**. For example, in case of time series, seasonal patterns can increase errors in seasons with higher activity.
   3. Errors are normally distributed, otherwise some features will have more influence on the target variable than to others. If the error distribution is significantly non-normal, confidence intervals may be too wide or too narrow.",intermediate,supervised learning,1
What’s your favorite place in the world?,,,,0
5/6ths of the population is male and 4/5ths of the population is female. What is the ratio of the number of males to the number of females in the population?,,,,0
What do we mean by cross-validation?,Answer here,beginner,unsupervised learning,1
What is the difference between Random Forests and Gradient Boosting Trees?,Answer here,intermediate,feature selection,1
How can you use bag of words for text classification?,Answer here,intermediate,text classification,1
What is ROC (AU PR)?,Answer here,intermediate,classification,1
Do you have any tips on how to find a good place to stay while visiting New York City?,,,,0
What is the difference between gradient boosting trees and random forests?,Answer here,intermediate,feature selection,1
What do you think of the name?,,,,0
How do we choose the regularization parameter in linear models?,Answer here,intermediate,regularization,1
Is there a way to change the font color of the title bar (the white text at the top of the window) in Firefox?,,,,0
How can we use word embeddings for sentiment analysis?,Answer here,advanced,text classification,1
What regularization techniques are applicable to linear models?,Answer here,intermediate,regularization,1
What do you think the best way to learn a foreign language is?,,,,0
Is it possible to make a good argument for the existence of God?,,,,0
How do you think the world is going to change in the next 20 years?,,,,0
How would you approach the following problem?,Answer here,intermediate,unsupervised learning,1
How can we perform feature scaling in linear models?,Answer here,intermediate,regularization,1
If you were to walk into a bar and order a beer what would it be?,,,,0
How can you use Keras to train neural networks for text classification?,Answer here,beginner,text classification,1
What is gradient descent? How does it work?,"Gradient descent is an algorithm that uses calculus concept of gradient to try and reach local or global minima. It works by taking the negative of the gradient in a point of a given function, and updating that point repeatedly using the calculated negative gradient, until the algorithm reaches a local or global minimum, which will cause future iterations of the algorithm to return values that are equal or too close to the current point. It is widely used in machine learning applications.",intermediate,supervised learning,1
What is linear regression? When do we use it?,"Linear regression is a model that assumes a linear relationship between the input variables (X) and the single output variable (y).

With a simple equation:

```
y = B0 + B1*x1 + ... + Bn * xN
```

B is regression coefficients, x values are the independent (explanatory) variables  and y is dependent variable.

The case of one explanatory variable is called simple linear regression. For more than one explanatory variable, the process is called multiple linear regression.

Simple linear regression:

```
y = B0 + B1*x1
```

Multiple linear regression:

```
y = B0 + B1*x1 + ... + Bn * xN
```",beginner,supervised learning,1
how often do you find yourself looking at the clock and wondering what time it is?,,,,0
Is it possible to parallelize training of a gradient boosting model? How to do it?,"Yes, different frameworks provide different options to make training faster, using GPUs to speed up the process by making it highly parallelizable.For example, for XGBoost <i>tree_method = 'gpu_hist'</i> option makes training faster by use of GPUs.",intermediate,feature selection,1
What is AUC (AU ROC)?,Answer here,intermediate,classification,1
"1.) What is the difference between a ""magnet"" and a ""magnetic field""?",,,,0
What do you think is the most important thing that a parent can teach their children?,,,,0
How can we use Convolutional Neural Networks (CNNs) for image classification?,Answer here,intermediate,neural networks,1
What is time series? What are the types of time series?,Answer here,beginner,time series,1
"I have a couple of questions that I don't understand.
1. Is there a way to make the number of threads in a thread group larger?",,,,0
How can we use bag of words for text classification with bag of words?,Answer here,advanced,text classification,1
What is the k-fold cross-validation?,Answer here,beginner,supervised learning,1
What do you mean by Big Data?,Answer here,intermediate,unsupervised learning,1
Which is the most popular machine learning algorithm?,Answer here,intermediate,unsupervised learning,1
What are your thoughts on the current state of U.S. politics?,,,,0
If you could change one thing about your body what would it be?,,,,0
Do you have any idea how to use CNN for text classification?,Answer here,advanced,text classification,1
What do you think is the most important factor in a person’s life?,,,,0
What is K-fold cross-validation?,"K fold cross validation is a method of cross validation where we select a hyperparameter k. The dataset is now divided into k parts. Now, we take the 1st part as validation set and remaining k-1 as training set. Then we take the 2nd part as validation set and remaining k-1 parts as training set. Like this, each part is used as validation set once and the remaining k-1 parts are taken together and used as training set.
It should not be used in a time series data.",beginner,supervised learning,1
How do we train the neural nets?,Answer here,beginner,neural networks,1
what is the best way to start a blog?,,,,0
What is the purpose of your website?,,,,0
What is the difference between a 'user' and a 'customer'?,,,,0
how do you feel about the idea of having a single number that represents how good or bad you are at something?,,,,0
When would you use Adam and when SGD?,"Adam tends to converge faster, while SGD often converges to more optimal solutions.",intermediate,neural networks,1
What would be the best way to find a specific record in a database?,,,,0
Is there a way to get the number of days between two dates without having to convert them into months or years first?,,,,0
Why do we need to learn a foreign language?,,,,0
What is neural net?,Answer here,intermediate,neural networks,1
What is the difference between gradient boosting trees (GBT) and XGBoost?,Answer here,advanced,feature selection,1
Can we use machine learning for text classification with bag of words features?,Answer here,intermediate,text classification,1
How did you find out about this blog?,,,,0
Can anyone tell me where I can find a picture of the inside of the M1 Garand?,,,,0
How many of you when you’re trying to decide what to order from a menu are the first things you look for?,,,,0
What if we want to build a model for predicting prices? Are prices distributed normally? Do we need to do any pre-processing for prices?,"Data is not normal. Specially, real-world datasets or uncleaned datasets always have certain skewness. Same goes for the price prediction. Price of houses or any other thing under consideration depends on a number of factors. So, there's a great chance of presence of some skewed values i.e outliers if we talk in data science terms. 

Yes, you may need to do pre-processing. Most probably, you will need to remove the outliers to make your distribution near-to-normal.",intermediate,supervised learning,1
How do we train a neural net?,Answer here,beginner,neural networks,1
What do you get when you cross a poodle with a chihuahua?,,,,0
What do you know about machine learning?,Answer here,beginner,unsupervised learning,1
Do you know how DBScan works?,"* Two input parameters epsilon (neighborhood radius) and minPts (minimum number of points in an epsilon-neighborhood)
* Cluster defined as maximum set of density-connected points.
* Points p_j and p_i are density-connected w.r.t. epsilon and minPts if there is a point o such that both, i and j are density-reachable from o w.r.t. epsilon and minPts.
* p_j is density-reachable from p_i w.r.t. epsilon, minPts if there is a chain of points p_i -> p_i+1 -> p_i+x = p_j such that p_i+x is directly density-reachable from p_i+x-1.
* p_j is a directly density-reachable point of the neighborhood of p_i if dist(p_i,p_j) <= epsilon.",intermediate,unsupervised learning,1
The interviewer wants you to write a program that takes in a 2D array and returns the sum of its elements. How do you solve this problem?,Answer here,intermediate,classification,1
Can you tell us a little bit about yourself?,,,,0
How does one get to know a country?,,,,0
What is the name of the game you're playing right now?,,,,0
What is the curse of dimensionality? Why do we care about it?,"Data in only one dimension is relatively tightly packed. Adding a dimension stretches the points across that dimension, pushing them further apart. Additional dimensions spread the data even further making high dimensional data extremely sparse. We care about it, because it is difficult to use machine learning in sparse spaces.",intermediate,unsupervised learning,1
Why do we need activation functions?,"The main idea of using neural networks is to learn complex nonlinear functions. If we are not using an activation function in between different layers of a neural network, we are just stacking up multiple linear layers one on top of another and this leads to learning a linear function. The Nonlinearity comes only with the activation function, this is the reason we need activation functions.",beginner,neural networks,1
What is the name of the group of people who are in charge of telling us what to do?,,,,0
How do you know when it’s time for a change?,,,,0
How do I find the minimum and maximum values of a column in Python?,Answer here,intermediate,classification,1
How would you design a machine learning model that predicts the probability of a customer defaulting on their loan?,Answer here,beginner,supervised learning,1
What is the difference between a normal distribution and a binomial distribution?,,,,0
What do you think about the new iPhone?,,,,0
Is there a way to get the current number of lines in a file so that I can determine how many lines are in the file?,,,,0
What is the difference between classification and regression models?,Answer here,beginner,classification,1
What are the current trends in Machine Learning?,Answer here,beginner,unsupervised learning,1
How many of you have a hard time keeping your eyes open when you’re in the car?,,,,0
What is the best way to make sure that you don't get a virus?,,,,0
How to choose the regularization parameter in linear models?,Answer here,intermediate,regularization,1
What do you think of the idea of having a “social media manager”?,,,,0
How to choose which augmentations to use?,"Augmentations really depend on the type of output classes and the features you want your model to learn. For eg. if you have mostly properly illuminated images in your dataset and want your model to predict poorly illuminated images too, you can apply channel shifting on your data and include the resultant images in your dataset for better results.",intermediate,neural networks,1
"Why do you think it is necessary to use the ""not"" operator in a conditional statement?",,,,0
"What is the difference between a ""pocket"" and a ""back pocket""?",,,,0
What are recommender systems?,Answer here,beginner,recommender systems,1
Which feature selection techniques do you know?,"Here are some of the feature selections:
- Principal Component Analysis
- Neighborhood Component Analysis
- ReliefF Algorithm",intermediate,feature selection,1
What’s your favorite part of the day?,,,,0
How do you deal with having a lot of data and not being able to use it all?,,,,0
I was wondering if anyone knows of any way that one can tell if the last character of a string is an integer?,,,,0
What is K-fold cross validation?,Answer here,beginner,supervised learning,1
What is the difference between linear regression and ordinary least squares regression?,Answer here,beginner,supervised learning,1
What was your favorite movie of all time?,,,,0
What is random forest?,"Random Forest is a machine learning method for regression and classification which is composed of many decision trees. Random Forest belongs to a larger class of ML algorithms called ensemble methods (in other words, it involves the combination of several models to solve a single prediction problem).",beginner,feature selection,1
If you could take a trip anywhere in the world where would it be?,,,,0
Is there an easy way to check if a string is a palindrome without using loops or recursion?,,,,0
How do we select the number of trees in random forest models?,Answer here,intermediate,feature selection,1
What are the advantages and disadvantages of linear models compared to non-linear models?,Answer here,intermediate,regularization,1
How do you decide which clustering algorithms to use?,Answer here,intermediate,unsupervised learning,1
What is the difference between XGBoost and LightGBM models?,Answer here,advanced,feature selection,1
What is SGD — stochastic gradient descent? What’s the difference with the usual gradient descent?,"In both gradient descent (GD) and stochastic gradient descent (SGD), you update a set of parameters in an iterative manner to minimize an error function.

The difference lies in how the gradient of the loss function is estimated. In the usual GD, you have to run through ALL the samples in your training set in order to estimate the gradient and do a single update for a parameter in a particular iteration. In SGD, on the other hand, you use ONLY ONE or SUBSET of training sample from your training set to estimate the gradient and do the update for a parameter in a particular iteration. If you use SUBSET, it is called Minibatch Stochastic gradient Descent.",intermediate,supervised learning,1
Is it possible to create a machine learning model that has no bias?,Answer here,beginner,supervised learning,1
What are the common approaches to building an effective recommender system?,Answer here,intermediate,recommender systems,1
What is the difference between gradient boosting trees and random forest models?,Answer here,advanced,feature selection,1
Do you have a favorite story in the Bible?,,,,0
What’s your favorite type of pizza?,,,,0
What’s K-fold cross-validation?,Answer here,beginner,supervised learning,1
How can we use machine learning for search?,Answer here,intermediate,unsupervised learning,1
How many of you have been in a situation where you had to say no to someone else's request?,,,,0
How do we evaluate the performance of a model?,Answer here,beginner,classification,1
What is the best way to use word embeddings?,Answer here,advanced,text classification,1
What is Linear Regression?,Answer here,beginner,supervised learning,1
Is there any difference between linear regression and logistic regression?,Answer here,beginner,classification,1
what is the difference between a regular and a superconductor?,,,,0
What are the most important steps in supervised machine learning?,Answer here,beginner,supervised learning,1
What is an activation function?,Answer here,beginner,neural networks,1
Do you know any other ways to use CNNs for ranking?,Answer here,advanced,unsupervised learning,1
What are the problems with sigmoid as an activation function?,The derivative of the sigmoid function for large positive or negative numbers is almost zero. From this comes the problem of vanishing gradient — during the backpropagation our net will not learn (or will learn drastically slow). One possible way to solve this problem is to use ReLU activation function.,intermediate,neural networks,1
What is logistic regression?,Answer here,beginner,classification,1
What is time series and what are the different types?,Answer here,beginner,time series,1
what do you think of the new design?,,,,0
What are the different types of artificial networks to be used in recommender systems?,Answer here,beginner,recommender systems,1
"How do we split the dataset into train, validation and test sets?",Answer here,beginner,supervised learning,1
How does one go about finding a place to stay in New York City?,,,,0
What was the last thing you ate?,,,,0
How can we use word embeddings to improve sentiment classification?,Answer here,advanced,text classification,1
how many times have you gone on a cruise?,,,,0
Why do we need learning rates?,Answer here,beginner,neural networks,1
What is the difference between bag of words and word embedding?,Answer here,intermediate,text classification,1
Are CNNs resistant to rotations? What happens to the predictions of a CNN if an image is rotated?,"CNNs are not resistant to rotation by design. However, we can make our models resistant by augmenting our datasets with different rotations of the raw data. The predictions of a CNN will change if an image is rotated and we did not augment our dataset accordingly. A demonstration of this occurence can be seen in [this video](https://www.youtube.com/watch?v=VO1bQo4PXV4), where a CNN changes its predicted class between a duck and a rabbit based on the rotation of the image.",advanced,neural networks,1
How many times have you heard someone say “I’m not a religious person” or “I don’t believe in God”?,,,,0
How many of you have had the experience of getting an email from your bank asking you to update your account information?,,,,0
How do we know which feature importance measure to use?,Answer here,intermediate,feature selection,1
How would you use N-grams for text classification with bag of words?,Answer here,advanced,text classification,1
"How many times do you think you’ve been asked “What are you going to do with your life?""",,,,0
How to set the learning rate?,There is no straightforward way of finding an optimum learning rate for a model. It involves a lot of hit and trial. Usually starting with a small values such as 0.01 is a good starting point for setting a learning rate and further tweaking it so that it doesn't overshoot or converge too slowly.,intermediate,neural networks,1
What is your favorite part of being a nurse?,,,,0
What are the main components of gradient boosting trees models?,Answer here,intermediate,feature selection,1
Is there a way to do this in python without using numpy?,,,,0
What are time series and how do they differ from the traditional regression models?,Answer here,beginner,time series,1
