question,answer,difficulty,topic
How do we interpret the regularization parameters?,Answer here,intermediate,regularization
What are N-grams? When do we use N-grams?,Answer here,advanced,text classification
What is machine learning and how does it differ from other forms of AI?,Answer here,beginner,unsupervised learning
What is the impact of feature selection?,Answer here,beginner,feature selection
"What is ""curse of dimensionality""? ","The curse of dimensionality is an issue that arises when working with high-dimensional data. It is often said that ""the curse of dimensionality"" is one of the main problems with machine learning. The curse of dimensionality refers to the fact that, as the number of dimensions (features) in a data set increases, the number of data points required to accurately learn the relationships between those features increases exponentially.

A simple example where we have a data set with two features, x1 and x2. If we want to learn the relationship between these two features, we need to have enough data points so that we can accurately estimate the parameters of that relationship. However, if we add a third feature, x3, then the number of data points required to accurately learn the relationships between all three features increases exponentially. This is because there are now more parameters to estimate, and the number of data points needed to accurately estimate those parameters increases exponentially with the number of parameters.

Simply put, the curse of dimensionality basically means that the error increases with the increase in the number of features.",intermediate,classification
What is AU ROC?,Answer here,intermediate,classification
What’s your favorite metric for evaluating regression models?,Answer here,beginner,supervised learning
What is the difference between gradient boosting tree and random forest models?,Answer here,advanced,feature selection
What is the difference between batch and mini-batch training?,Answer here,intermediate,neural networks
Can we use L2 regularization for feature selection?,"No, Because L2 regularization does not make the weights zero but only makes them very very small. L2 regularization can be used to solve multicollinearity since it stabilizes the model.",intermediate,feature selection
What are the key differences between deep learning and traditional neural nets?,Answer here,intermediate,neural networks
Can we formulate the search problem as a classification problem? How?,Answer here,intermediate,unsupervised learning
Do you know bag of words?,Answer here,intermediate,text classification
What is feature selection? Why do we need it?,Feature Selection is a method used to select the relevant features for the model to train on. We need feature selection to remove the irrelevant features which leads the model to under-perform.,beginner,feature selection
What if we want to build a neural network for text classification with bag of words features?,Answer here,intermediate,text classification
Do you know any ways to use gradient boosting trees for ranking?,Answer here,advanced,unsupervised learning
What is the difference between a linear regression model and a logistic regression model?,Answer here,beginner,classification
How do you evaluate the accuracy of your classification models?,Answer here,beginner,classification
How do you know how to validate your models?,Answer here,beginner,supervised learning
What is the difference between Linear Regression and Logistic Regression?,Answer here,beginner,classification
Can we use regularization techniques for linear models in non-linear models?,Answer here,intermediate,regularization
What are the advantages of random forest regression model compared to gradient boosting tree model?,Answer here,beginner,feature selection
What are the applications of Deep Learning in Data Science?,Answer here,intermediate,classification
How can you use bag of words for text classification with bag of words?,Answer here,advanced,text classification
Do you know how to use gradient boosting models for ranking?,Answer here,advanced,unsupervised learning
Why do we use convolutional layers?,Answer here,intermediate,neural networks
What would be the best way to approach this problem?,Answer here,intermediate,unsupervised learning
Can you explain how cross-validation works?,"Cross-validation is the process to separate your total training set into two subsets: training and validation set, and evaluate your model to choose the hyperparameters. But you do this process iteratively, selecting different training and validation set, in order to reduce the bias that you would have by selecting only one validation set.",beginner,supervised learning
What kind of regularization techniques are applicable to linear models?,"AIC/BIC, Ridge regression, Lasso, Elastic Net, Basis pursuit denoising, Rudin–Osher–Fatemi model (TV), Potts model, RLAD,
Dantzig Selector,SLOPE",intermediate,regularization
"Given a set of observations, how can we compute the mean and standard deviation (or other statistics) of that set?",Answer here,intermediate,unsupervised learning
"What would you do if you were asked to build a machine learning system that can accurately predict the number of days until an event (e.g., a person's birthday) based on historical weather data?",Answer here,intermediate,recommender systems
What is the difference between L1 regularization and L2 regularization?,Answer here,intermediate,regularization
What are the most popular machine learning models?,Answer here,beginner,supervised learning
What is the difference between gradient boosting models and XGBoost?,Answer here,advanced,feature selection
Is there any difference between random forest model and gradient boosting tree model in terms of feature importance?,Answer here,intermediate,feature selection
How do we deal with categorical features in machine learning?,Answer here,intermediate,feature selection
"If you have a series with only one variable “y” measured at time t and a set of features at time t-1 and t-2, how to predict “y” at time t+1?",Answer here,intermediate,time series
What are the challenges in designing learning algorithms?,Answer here,intermediate,unsupervised learning
How to select K for K-means?,"* Domain knowledge, i.e. an expert knows the value of k
* Elbow method: compute the clusters for different values of k, for each k, calculate the total within-cluster sum of square, plot the sum according to the number of clusters and use the band as the number of clusters.
* Average silhouette method: compute the clusters for different values of k, for each k, calculate the average silhouette of observations, plot the silhouette according to the number of clusters and select the maximum as the number of clusters.",intermediate,unsupervised learning
How can we use machine learning for text classification?,"Machine learning classification algorithms predict a class based on a numerical feature representation. This means that in order to use machine learning for text classification, we need to extract numerical features from our text data first before we can apply machine learning algorithms. Common approaches to extract numerical features from text data are bag of words, N-grams or word embeddings.",intermediate,text classification
What is time series and how it is different from the standard regression model?,Answer here,beginner,time series
What is the principle of linear regression?,Answer here,beginner,supervised learning
How do we know how many trees we need in random forest?,"The number of trees in random forest is worked by n_estimators, and a random forest reduces overfitting by increasing the number of trees. There is no fixed thumb rule to decide the number of trees in a random forest, it is rather fine tuned with the data, typically starting off by taking the square of the number of features (n) present in the data followed by tuning until we get the optimal results.",intermediate,feature selection
What are the differences between linear models and generalized linear models?,Answer here,intermediate,regularization
How can you deal with the cold start problem in recommender systems?,Answer here,intermediate,recommender systems
What is bag of words?,Answer here,intermediate,text classification
What do we need to know about bias-variance trade-off?,Answer here,beginner,supervised learning
How can we use XGBoost for ranking?,Answer here,advanced,unsupervised learning
What are the main assumptions of linear regression?,"There are several assumptions of linear regression. If any of them is violated, model predictions and interpretation may be worthless or misleading.

1. **Linear relationship** between features and target variable.
2. **Additivity** means that the effect of changes in one of the features on the target variable does not depend on values of other features. For example, a model for predicting revenue of a company have of two features - the number of items _a_ sold and the number of items _b_ sold. When company sells more items _a_ the revenue increases and this is independent of the number of items _b_ sold. But, if customers who buy _a_ stop buying _b_, the additivity assumption is violated.
3. Features are not correlated (no **collinearity**) since it can be difficult to separate out the individual effects of collinear features on the target variable.
4. Errors are independently and identically normally distributed (y<sub>i</sub> = B0 + B1*x1<sub>i</sub> + ... + error<sub>i</sub>):
   1. No correlation between errors (consecutive errors in the case of time series data).
   2. Constant variance of errors - **homoscedasticity**. For example, in case of time series, seasonal patterns can increase errors in seasons with higher activity.
   3. Errors are normally distributed, otherwise some features will have more influence on the target variable than to others. If the error distribution is significantly non-normal, confidence intervals may be too wide or too narrow.",intermediate,supervised learning
What do we mean by cross-validation?,Answer here,beginner,unsupervised learning
What is the difference between Random Forests and Gradient Boosting Trees?,Answer here,intermediate,feature selection
How can you use bag of words for text classification?,Answer here,intermediate,text classification
What is ROC (AU PR)?,Answer here,intermediate,classification
What is the difference between gradient boosting trees and random forests?,Answer here,intermediate,feature selection
How do we choose the regularization parameter in linear models?,Answer here,intermediate,regularization
How can we use word embeddings for sentiment analysis?,Answer here,advanced,text classification
What regularization techniques are applicable to linear models?,Answer here,intermediate,regularization
How would you approach the following problem?,Answer here,intermediate,unsupervised learning
How can we perform feature scaling in linear models?,Answer here,intermediate,regularization
How can you use Keras to train neural networks for text classification?,Answer here,beginner,text classification
What is gradient descent? How does it work?,"Gradient descent is an algorithm that uses calculus concept of gradient to try and reach local or global minima. It works by taking the negative of the gradient in a point of a given function, and updating that point repeatedly using the calculated negative gradient, until the algorithm reaches a local or global minimum, which will cause future iterations of the algorithm to return values that are equal or too close to the current point. It is widely used in machine learning applications.",intermediate,supervised learning
What is linear regression? When do we use it?,"Linear regression is a model that assumes a linear relationship between the input variables (X) and the single output variable (y).

With a simple equation:

```
y = B0 + B1*x1 + ... + Bn * xN
```

B is regression coefficients, x values are the independent (explanatory) variables  and y is dependent variable.

The case of one explanatory variable is called simple linear regression. For more than one explanatory variable, the process is called multiple linear regression.

Simple linear regression:

```
y = B0 + B1*x1
```

Multiple linear regression:

```
y = B0 + B1*x1 + ... + Bn * xN
```",beginner,supervised learning
Is it possible to parallelize training of a gradient boosting model? How to do it?,"Yes, different frameworks provide different options to make training faster, using GPUs to speed up the process by making it highly parallelizable.For example, for XGBoost <i>tree_method = 'gpu_hist'</i> option makes training faster by use of GPUs.",intermediate,feature selection
What is AUC (AU ROC)?,Answer here,intermediate,classification
How can we use Convolutional Neural Networks (CNNs) for image classification?,Answer here,intermediate,neural networks
What is time series? What are the types of time series?,Answer here,beginner,time series
How can we use bag of words for text classification with bag of words?,Answer here,advanced,text classification
What is the k-fold cross-validation?,Answer here,beginner,supervised learning
What do you mean by Big Data?,Answer here,intermediate,unsupervised learning
Which is the most popular machine learning algorithm?,Answer here,intermediate,unsupervised learning
Do you have any idea how to use CNN for text classification?,Answer here,advanced,text classification
What is K-fold cross-validation?,"K fold cross validation is a method of cross validation where we select a hyperparameter k. The dataset is now divided into k parts. Now, we take the 1st part as validation set and remaining k-1 as training set. Then we take the 2nd part as validation set and remaining k-1 parts as training set. Like this, each part is used as validation set once and the remaining k-1 parts are taken together and used as training set.
It should not be used in a time series data.",beginner,supervised learning
How do we train the neural nets?,Answer here,beginner,neural networks
When would you use Adam and when SGD?,"Adam tends to converge faster, while SGD often converges to more optimal solutions.",intermediate,neural networks
What is neural net?,Answer here,intermediate,neural networks
What is the difference between gradient boosting trees (GBT) and XGBoost?,Answer here,advanced,feature selection
Can we use machine learning for text classification with bag of words features?,Answer here,intermediate,text classification
What if we want to build a model for predicting prices? Are prices distributed normally? Do we need to do any pre-processing for prices?,"Data is not normal. Specially, real-world datasets or uncleaned datasets always have certain skewness. Same goes for the price prediction. Price of houses or any other thing under consideration depends on a number of factors. So, there's a great chance of presence of some skewed values i.e outliers if we talk in data science terms. 

Yes, you may need to do pre-processing. Most probably, you will need to remove the outliers to make your distribution near-to-normal.",intermediate,supervised learning
How do we train a neural net?,Answer here,beginner,neural networks
What do you know about machine learning?,Answer here,beginner,unsupervised learning
Do you know how DBScan works?,"* Two input parameters epsilon (neighborhood radius) and minPts (minimum number of points in an epsilon-neighborhood)
* Cluster defined as maximum set of density-connected points.
* Points p_j and p_i are density-connected w.r.t. epsilon and minPts if there is a point o such that both, i and j are density-reachable from o w.r.t. epsilon and minPts.
* p_j is density-reachable from p_i w.r.t. epsilon, minPts if there is a chain of points p_i -> p_i+1 -> p_i+x = p_j such that p_i+x is directly density-reachable from p_i+x-1.
* p_j is a directly density-reachable point of the neighborhood of p_i if dist(p_i,p_j) <= epsilon.",intermediate,unsupervised learning
The interviewer wants you to write a program that takes in a 2D array and returns the sum of its elements. How do you solve this problem?,Answer here,intermediate,classification
What is the curse of dimensionality? Why do we care about it?,"Data in only one dimension is relatively tightly packed. Adding a dimension stretches the points across that dimension, pushing them further apart. Additional dimensions spread the data even further making high dimensional data extremely sparse. We care about it, because it is difficult to use machine learning in sparse spaces.",intermediate,unsupervised learning
Why do we need activation functions?,"The main idea of using neural networks is to learn complex nonlinear functions. If we are not using an activation function in between different layers of a neural network, we are just stacking up multiple linear layers one on top of another and this leads to learning a linear function. The Nonlinearity comes only with the activation function, this is the reason we need activation functions.",beginner,neural networks
How do I find the minimum and maximum values of a column in Python?,Answer here,intermediate,classification
How would you design a machine learning model that predicts the probability of a customer defaulting on their loan?,Answer here,beginner,supervised learning
What is the difference between classification and regression models?,Answer here,beginner,classification
What are the current trends in Machine Learning?,Answer here,beginner,unsupervised learning
How to choose the regularization parameter in linear models?,Answer here,intermediate,regularization
How to choose which augmentations to use?,"Augmentations really depend on the type of output classes and the features you want your model to learn. For eg. if you have mostly properly illuminated images in your dataset and want your model to predict poorly illuminated images too, you can apply channel shifting on your data and include the resultant images in your dataset for better results.",intermediate,neural networks
What are recommender systems?,Answer here,beginner,recommender systems
Which feature selection techniques do you know?,"Here are some of the feature selections:
- Principal Component Analysis
- Neighborhood Component Analysis
- ReliefF Algorithm",intermediate,feature selection
What is K-fold cross validation?,Answer here,beginner,supervised learning
What is the difference between linear regression and ordinary least squares regression?,Answer here,beginner,supervised learning
What is random forest?,"Random Forest is a machine learning method for regression and classification which is composed of many decision trees. Random Forest belongs to a larger class of ML algorithms called ensemble methods (in other words, it involves the combination of several models to solve a single prediction problem).",beginner,feature selection
How do we select the number of trees in random forest models?,Answer here,intermediate,feature selection
What are the advantages and disadvantages of linear models compared to non-linear models?,Answer here,intermediate,regularization
How do you decide which clustering algorithms to use?,Answer here,intermediate,unsupervised learning
What is the difference between XGBoost and LightGBM models?,Answer here,advanced,feature selection
What is SGD — stochastic gradient descent? What’s the difference with the usual gradient descent?,"In both gradient descent (GD) and stochastic gradient descent (SGD), you update a set of parameters in an iterative manner to minimize an error function.

The difference lies in how the gradient of the loss function is estimated. In the usual GD, you have to run through ALL the samples in your training set in order to estimate the gradient and do a single update for a parameter in a particular iteration. In SGD, on the other hand, you use ONLY ONE or SUBSET of training sample from your training set to estimate the gradient and do the update for a parameter in a particular iteration. If you use SUBSET, it is called Minibatch Stochastic gradient Descent.",intermediate,supervised learning
Is it possible to create a machine learning model that has no bias?,Answer here,beginner,supervised learning
What are the common approaches to building an effective recommender system?,Answer here,intermediate,recommender systems
What is the difference between gradient boosting trees and random forest models?,Answer here,advanced,feature selection
What’s K-fold cross-validation?,Answer here,beginner,supervised learning
How can we use machine learning for search?,Answer here,intermediate,unsupervised learning
How do we evaluate the performance of a model?,Answer here,beginner,classification
What is the best way to use word embeddings?,Answer here,advanced,text classification
What is Linear Regression?,Answer here,beginner,supervised learning
Is there any difference between linear regression and logistic regression?,Answer here,beginner,classification
What are the most important steps in supervised machine learning?,Answer here,beginner,supervised learning
What is an activation function?,Answer here,beginner,neural networks
Do you know any other ways to use CNNs for ranking?,Answer here,advanced,unsupervised learning
What are the problems with sigmoid as an activation function?,The derivative of the sigmoid function for large positive or negative numbers is almost zero. From this comes the problem of vanishing gradient — during the backpropagation our net will not learn (or will learn drastically slow). One possible way to solve this problem is to use ReLU activation function.,intermediate,neural networks
What is logistic regression?,Answer here,beginner,classification
What is time series and what are the different types?,Answer here,beginner,time series
What are the different types of artificial networks to be used in recommender systems?,Answer here,beginner,recommender systems
"How do we split the dataset into train, validation and test sets?",Answer here,beginner,supervised learning
How can we use word embeddings to improve sentiment classification?,Answer here,advanced,text classification
Why do we need learning rates?,Answer here,beginner,neural networks
What is the difference between bag of words and word embedding?,Answer here,intermediate,text classification
Are CNNs resistant to rotations? What happens to the predictions of a CNN if an image is rotated?,"CNNs are not resistant to rotation by design. However, we can make our models resistant by augmenting our datasets with different rotations of the raw data. The predictions of a CNN will change if an image is rotated and we did not augment our dataset accordingly. A demonstration of this occurence can be seen in [this video](https://www.youtube.com/watch?v=VO1bQo4PXV4), where a CNN changes its predicted class between a duck and a rabbit based on the rotation of the image.",advanced,neural networks
How do we know which feature importance measure to use?,Answer here,intermediate,feature selection
How would you use N-grams for text classification with bag of words?,Answer here,advanced,text classification
How to set the learning rate?,There is no straightforward way of finding an optimum learning rate for a model. It involves a lot of hit and trial. Usually starting with a small values such as 0.01 is a good starting point for setting a learning rate and further tweaking it so that it doesn't overshoot or converge too slowly.,intermediate,neural networks
What are the main components of gradient boosting trees models?,Answer here,intermediate,feature selection
What are time series and how do they differ from the traditional regression models?,Answer here,beginner,time series
What is the difference between Linear Regression and Ridge Regression?,Answer here,beginner,supervised learning
What are the different ways to use gradient boosting trees for text classification?,Answer here,advanced,text classification
Can you tell us how you approach the model training process?,Answer here,intermediate,neural networks
What is the difference between convolutional layers and fully-connected layers?,Answer here,advanced,neural networks
How do I go about building a recommender system?,Answer here,intermediate,recommender systems
What is CNN (Convolutional Neural Network) and how does it work?,Answer here,advanced,neural networks
What is the difference between Random Forest and Gradient Boosting Tree?,Answer here,intermediate,feature selection
What is transfer learning?,Answer here,intermediate,neural networks
How do we interpret the weights in linear models?,Answer here,intermediate,regularization
What are the problems with the gradient descent algorithm?,Answer here,intermediate,unsupervised learning
What is time series?,Answer here,beginner,time series
How would you approach the cold start problem?,Answer here,intermediate,recommender systems
How would you use text classification with bag of words?,Answer here,advanced,text classification
What is the difference between Random Forest model and Gradient Boosting Model?,Answer here,intermediate,feature selection
What is collaborative filtering?,"* Collaborative filtering is the most prominent approach to generate recommendations.
* It uses the wisdom of the crowd, i.e. it gives recommendations based on the experience of others.
* A recommendation is calculated as the average of other experiences.
* Say we want to give a score that indicates how much user u will like an item i. Then we can calculate it with the experience of N other users U as r_ui = 1/N * sum(v in U) r_vi.
* In order to rate similar experiences with a higher weight, we can introduce a similarity between users that we use as a multiplier for each rating.
* Also, as users have an individual profile, one user may have an average rating much larger than another user, so we use normalization techniques (e.g. centering or Z-score normalization) to remove the users' biases.
* Collaborative filtering does only need a rating matrix as input and improves over time. However, it does not work well on sparse data, does not work for cold starts (see below) and usually tends to overfit.",intermediate,recommender systems
Why do we need to use neural nets for deep learning?,Answer here,intermediate,neural networks
How can we use the CNN architecture for text classification?,Answer here,advanced,text classification
What is the gradient descent algorithm?,Answer here,intermediate,unsupervised learning
"Given a matrix, find the sum of all its elements. How would you solve this problem?",Answer here,intermediate,classification
Do we need regularization in linear models?,Answer here,intermediate,regularization
How do we train the model?,Answer here,beginner,supervised learning
What is object detection? Do you know any architectures for that?,"Object detection is finding Bounding Boxes around objects in an image. 
Architectures :
YOLO, Faster RCNN, Center Net",advanced,neural networks
What’s your favorite K-fold cross-validation?,Answer here,beginner,supervised learning
What's the difference between k-means clustering and k-medoids clustering?,Answer here,intermediate,unsupervised learning
What is AU PR?,Answer here,intermediate,classification
What is machine learning and how does it differ from traditional AI?,Answer here,beginner,unsupervised learning
How do we select the optimal regularization parameters for linear models?,Answer here,intermediate,regularization
What is the concept of supervised learning?,Answer here,beginner,supervised learning
What are the different kinds of machine learning models?,Answer here,beginner,supervised learning
What is the use of time series?,Answer here,beginner,time series
What is the best way to represent a continuous numerical variable in a dataset?,Answer here,advanced,supervised learning
How can we use deep learning for recommender systems?,Answer here,intermediate,recommender systems
What is the difference between machine learning and artificial intelligence?,Answer here,intermediate,supervised learning
What is the difference between k-means clustering and hierarchical clustering?,Answer here,intermediate,unsupervised learning
What is the main difference between Random Forest and Gradient Boosting Model?,Answer here,intermediate,feature selection
What is data science and what are the key skills required to become a data scientist?,Answer here,intermediate,supervised learning
Can you tell me something about time series?,Answer here,beginner,time series
What’s the difference between random forest and gradient boosting?,"1. Random Forests builds each tree independently while Gradient Boosting builds one tree at a time.
   2. Random Forests combine results at the end of the process (by averaging or ""majority rules"") while Gradient Boosting combines     results along the way.",intermediate,feature selection
Can you tell me something about your experience in using transformers and how they can be used for text classification?,Answer here,advanced,text classification
What are different ways to solve the cold start problem?,Answer here,beginner,recommender systems
Which optimization techniques for training neural nets do you know?,"* Gradient Descent
* Stochastic Gradient Descent
* Mini-Batch Gradient Descent(best among gradient descents)
* Nesterov Accelerated Gradient
* Momentum
* Adagrad 
* AdaDelta
* Adam(best one. less time, more efficient)",intermediate,neural networks
What is the main difference between random forest model and gradient boosting model in terms of performance?,Answer here,intermediate,feature selection
What are recommender systems? What do they do?,Answer here,beginner,recommender systems
In which cases AU PR is better than AU ROC?,"What is different however is that AU ROC looks at a true positive rate TPR and false positive rate FPR while AU PR looks at positive predictive value PPV and true positive rate TPR.

Typically, if true negatives are not meaningful to the problem or you care more about the positive class, AU PR is typically going to be more useful; otherwise, If you care equally about the positive and negative class or your dataset is quite balanced, then going with AU ROC is a good idea.",intermediate,classification
How do you validate your models?,Answer here,beginner,supervised learning
What is time series and how does it differ from the usual regression model?,Answer here,beginner,time series
What are the problems that machine learning algorithms face when applied to real-world data?,Answer here,intermediate,unsupervised learning
When do we need to use random forests?,Answer here,beginner,feature selection
How do you evaluate the performance of your machine learning models?,Answer here,beginner,supervised learning
What is the difference between CNN and RNN?,Answer here,advanced,neural networks
Explain the difference between linear regression and logistic regression. 2. How can we use logistic regression to predict whether a customer will purchase a product?,Answer here,beginner,classification
How can we use CNNs for text classification?,Answer here,advanced,text classification
When do we need the regression model?,Answer here,beginner,supervised learning
What is regularization? Why do we need it?,Regularization is used to reduce overfitting in machine learning models. It helps the models to generalize well and make them robust to outliers and noise in the data.,beginner,regularization
How do we deal with time series problems?,Answer here,beginner,time series
What is the difference between linear models and nonlinear models?,Answer here,intermediate,regularization
What’s the regularization parameter for linear models?,Answer here,intermediate,regularization
What are the problems in time series?,Answer here,beginner,time series
What is the difference between Linear Models and Linear Models?,Answer here,intermediate,regularization
How do we know when to stop training?,Answer here,beginner,neural networks
What are good unsupervised baselines for text information retrieval?,Answer here,intermediate,unsupervised learning
What is text classification?,Answer here,advanced,text classification
What is the bias-variance trade-off?,"**Bias** is the error introduced by approximating the true underlying function, which can be quite complex, by a simpler model. **Variance** is a model sensitivity to changes in the training dataset.

**Bias-variance trade-off** is a relationship between the expected test error and the variance and the bias - both contribute to the level of the test error and ideally should be as small as possible:

```
ExpectedTestError = Variance + Bias² + IrreducibleError
```

But as a model complexity increases, the bias decreases and the variance increases which leads to *overfitting*. And vice versa, model simplification helps to decrease the variance but it increases the bias which leads to *underfitting*.",beginner,supervised learning
Is it possible to use random forest model in the case of imbalanced dataset?,Answer here,intermediate,feature selection
How to interpret the AU ROC score?,"AUC score is the value of *Area Under the ROC Curve*. 

If we assume ROC curve consists of dots, <img src=""https://render.githubusercontent.com/render/math?math=(x_1, y_1), (x_2, y_2), \cdots, (x_m,y_m)"">, then

<img src=""https://render.githubusercontent.com/render/math?math=AUC = rac{1}{2} \sum_{i=1}^{m-1}(x_{i%2B1}-x_i)\cdot (y_i%2By_{i%2B1})"">

An excellent model has AUC near to the 1 which means it has good measure of separability. A poor model has AUC near to the 0 which means it has worst measure of separability. When AUC score is 0.5, it means model has no class separation capacity whatsoever.",intermediate,classification
How can we use CNNs for text classification tasks?,Answer here,advanced,text classification
What is the K-fold Cross Validation?,Answer here,beginner,supervised learning
How do we choose the regularization parameter for linear models?,Answer here,intermediate,regularization
What is the difference between Logistic Regression and Linear Regression?,Answer here,beginner,classification
What are the benefits of using recommender systems?,Answer here,beginner,recommender systems
You have a series with only one variable “y” measured at time t. How do predict “y” at time t+1? Which approaches would you use?,We want to look at the correlation between different observations of y. This measure of correlation is called autocorrelation. Autoregressive models are multiple regression models where the time-lag series of the original time series are treated like multiple independent variables.,intermediate,time series
What is the goal of machine learning?,Answer here,beginner,unsupervised learning
What are the other clustering algorithms do you know?,"* k-medoids: Takes the most central point instead of the mean value as the center of the cluster. This makes it more robust to noise.
* Agglomerative Hierarchical Clustering (AHC): hierarchical clusters combining the nearest clusters starting with each point as its own cluster.
* DIvisive ANAlysis Clustering (DIANA): hierarchical clustering starting with one cluster containing all points and splitting the clusters until each point describes its own cluster.
* Density-Based Spatial Clustering of Applications with Noise (DBSCAN): Cluster defined as maximum set of density-connected points.",intermediate,unsupervised learning
What is the difference between k-fold cross-validation and Leave One Out (LOO) cross-validation?,Answer here,beginner,supervised learning
How would you evaluate your ranking algorithms? Which offline metrics would you use?,Answer here,intermediate,unsupervised learning
What is precision-recall trade-off (PR curve)?,Answer here,intermediate,classification
"What is a recommender system, and how does it work?",Answer here,beginner,recommender systems
How do you use trees for solving time series problems?,Answer here,intermediate,time series
Can you tell me about your work on the topic of domain adaptation for text classification?,Answer here,advanced,text classification
Can you use CNN for text classification?,Answer here,advanced,text classification
How to evaluate performance of classification models?,Answer here,beginner,classification
What are the key components of a data science pipeline?,Answer here,intermediate,supervised learning
What are the types of neural nets?,Answer here,intermediate,neural networks
How can we evaluate the performance of recommender systems?,Answer here,beginner,recommender systems
What is dropout? Why is it useful? How does it work?,"Dropout is a technique that at each training step turns off each neuron with a certain probability of *p*. This way at each iteration we train only *1-p* of neurons, which forces the network not to rely only on the subset of neurons for feature representation. This leads to regularizing effects that are controlled by the hyperparameter *p*.",intermediate,neural networks
Can you explain the use of word embeddings for text classification?,Answer here,advanced,text classification
What are the benefits of machine learning and how can it be applied to your organization?,Answer here,beginner,unsupervised learning
How do you approach the cold start problem?,Answer here,intermediate,recommender systems
What is recommender system?,Answer here,beginner,recommender systems
What is classification and how it differs from regression?,Answer here,beginner,classification
How to select the number of trees in gradient boosting trees model?,Answer here,intermediate,feature selection
What is time series and what are the types of time series?,Answer here,beginner,time series
What is gradient descent?,Answer here,intermediate,supervised learning
What is object segmentation? Do you know any architectures for that?,"Object Segmentation is predicting masks. It does not differentiate objects. 
Architectures :
Mask RCNN, UNet",advanced,neural networks
How do you use XGBoost or LightGBM for text classification?,Answer here,advanced,text classification
Why do we need convolutional layers?,Answer here,intermediate,neural networks
How do you handle missing data in machine learning?,Answer here,beginner,supervised learning
What is the confusion table? What are the cells in this table?,"Confusion table (or confusion matrix) shows how many True positives (TP), True Negative (TN), False Positive (FP) and False Negative (FN) model has made.

||                |     Actual   |        Actual |
|:---:|   :---:        |     :---:    |:---:          |
||                | Positive (1) | Negative (0)  |
|Predicted|   Positive (1) | TP           | FP            |
|Predicted|   Negative (0) | FN           | TN            |

* True Positives (TP): When the actual class of the observation is 1 (True) and the prediction is 1 (True)
* True Negative (TN): When the actual class of the observation is 0 (False) and the prediction is 0 (False)
* False Positive (FP): When the actual class of the observation is 0 (False) and the prediction is 1 (True)
* False Negative (FN): When the actual class of the observation is 1 (True) and the prediction is 0 (False)

Most of the performance metrics for classification models are based on the values of the confusion matrix.",beginner,classification
What is the importance of machine learning algorithms in big data analytics?,Answer here,intermediate,unsupervised learning
Can you explain the concept of recommender systems?,Answer here,beginner,recommender systems
How do we compute the mean squared error in linear models?,Answer here,intermediate,unsupervised learning
How can you use machine learning for text classification with N-grams?,Answer here,intermediate,text classification
What are the applications of machine learning?,Answer here,beginner,unsupervised learning
What is convolutional layer?,Answer here,intermediate,neural networks
How would you use machine learning for text classification with word embeddings?,Answer here,intermediate,text classification
What are the problems with the L2 regularization term?,Answer here,intermediate,regularization
What are the different ways to evaluate model performance?,Answer here,beginner,classification
How can we use CNN model for text classification?,Answer here,advanced,text classification
What is the linear regression model?,Answer here,beginner,supervised learning
Can you tell me about the time series?,Answer here,beginner,time series
What is the importance of Data Science?,Answer here,intermediate,supervised learning
How do we interpret L1 regularization coefficients?,Answer here,intermediate,regularization
What is precision-recall trade-off?,Answer here,intermediate,classification
Which metrics for evaluating regression models do you know?,"1. Mean Squared Error(MSE)
2. Root Mean Squared Error(RMSE)
3. Mean Absolute Error(MAE)
4. R² or Coefficient of Determination
5. Adjusted R²",beginner,supervised learning
What are the advantages of time series analysis?,Answer here,beginner,time series
How do you validate your clustering?,Answer here,beginner,unsupervised learning
How do you know if a regression model is linear?,Answer here,beginner,supervised learning
What are different ways to solve the cold start problem in recommender systems?,Answer here,beginner,recommender systems
What is the concept of feature selection?,Answer here,beginner,feature selection
What regularization techniques do you know?,Answer here,intermediate,regularization
How to train a neural network?,Answer here,beginner,neural networks
What is the difference between statistical and machine learning?,Answer here,intermediate,supervised learning
What is the role of machine learning in recommender systems?,Answer here,beginner,recommender systems
Do you know any dimensionality reduction techniques?,"* Singular Value Decomposition (SVD)
* Principal Component Analysis (PCA)
* Linear Discriminant Analysis (LDA)
* T-distributed Stochastic Neighbor Embedding (t-SNE)
* Autoencoders
* Fourier and Wavelet Transforms",intermediate,unsupervised learning
What is backpropagation? How does it work? Why do we need it?,"The Backpropagation algorithm looks for the minimum value of the error function in weight space using a technique called the delta rule or gradient descent. 
The weights that minimize the error function is then considered to be a solution to the learning problem. 

We need backpropogation because,
* Calculate the error – How far is your model output from the actual output.
* Minimum Error – Check whether the error is minimized or not.
* Update the parameters – If the error is huge then, update the parameters (weights and biases). After that again check the error.  
Repeat the process until the error becomes minimum.
* Model is ready to make a prediction – Once the error becomes minimum, you can feed some inputs to your model and it will produce the output.",intermediate,neural networks
How would you use bag of words?,Answer here,intermediate,text classification
What’s the learning rate?,"The learning rate is an important hyperparameter that controls how quickly the model is adapted to the problem during the training. It can be seen as the ""step width"" during the parameter updates, i.e. how far the weights are moved into the direction of the minimum of our optimization problem.",beginner,neural networks
What are the main components of gradient boosting trees?,Answer here,intermediate,feature selection
You have a series with a “y” variable and a set of features. How do you predict “y” at t+1?,Answer here,intermediate,time series
What is the difference between text classification and text categorization?,Answer here,advanced,text classification
How do you validate regression models?,Answer here,beginner,supervised learning
